"filename", "language", "HTML", "CSS", "JavaScript", "Markdown", "JSON", "Rust", "Database", "comment", "blank", "total"
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\fetch_post_test.html", "HTML", 125, 0, 0, 0, 0, 0, 0, 0, 23, 148
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\forms_test.html", "HTML", 81, 0, 0, 0, 0, 0, 0, 0, 20, 101
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\images_test.html", "HTML", 24, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\login.html", "HTML", 21, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\login\login.html", "HTML", 163, 0, 0, 0, 0, 0, 0, 0, 28, 191
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\login\welcome.html", "HTML", 77, 0, 0, 0, 0, 0, 0, 0, 8, 85
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\order\cart.html", "HTML", 106, 0, 0, 0, 0, 0, 0, 1, 23, 130
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\order\cart.js", "JavaScript", 0, 0, 144, 0, 0, 0, 0, 16, 32, 192
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\order\ordersite.html", "HTML", 100, 0, 0, 0, 0, 0, 0, 0, 23, 123
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\order\ordersite.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 1, 24, 100
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\order\share.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 13, 35
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\order_post.html", "HTML", 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\ordersite_edited.html", "HTML", 71, 0, 0, 0, 0, 0, 0, 0, 17, 88
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\ordersite_edited.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 4, 18, 63
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\products.html", "HTML", 94, 0, 0, 0, 0, 0, 0, 0, 20, 114
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\script.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 2, 7, 43
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\server.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 3, 6, 50
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\styles.css", "CSS", 0, 24, 0, 0, 0, 0, 0, 7, 6, 37
"c:\Users\mekka\Documents\programming\rust\utvecklingsprojekt\server\web_server\test_jpeg.html", "HTML", 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"Total", "-", 2488, 868, 1044, 2, 1813, 3060, 265, 1671, 1641, 12852
